Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,10,,332,,2155,,10,,192,,7,,24,,49,,7,,19,,9,,9,,21,,9,,14,,,
NEW ENGLAND,2014,1,,-,111,,878,,,-,56,,1,,2,,8,,1,,3,,,-,0,,3,,,-,1,,,
CONNECTICUT,2014,1,,-,23,,242,,,-,24,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MAINE,2014,1,,-,14,,99,,,-,1,,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MASSACHUSETTS,2014,1,,-,37,,437,,,-,21,,,-,1,,4,,,-,2,,,-,0,,3,,,-,1,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW HAMPSHIRE,2014,1,,-,6,,91,,,-,7,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
RHODE ISLAND,2014,1,,-,9,,54,,,-,,-,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VERMONT,2014,1,,-,7,,92,,,-,3,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MID. ATLANTIC,2014,1,7,,170,,1004,,7,,87,,,-,8,,21,,,-,2,,,-,1,,7,,,-,2,,,
NEW JERSEY,2014,1,,-,48,,224,,,-,47,,,-,1,,5,,,-,,-,,-,0,,2,,,-,1,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW YORK,2014,1,,-,43,,257,,,-,4,,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,1,,-,1,,39,,,-,,-,,-,4,,13,,,-,2,,,-,0,,2,,,-,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,1,7,,80,,540,,7,,36,,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
E.N. CENTRAL,2014,1,1,,16,,216,,1,,8,,1,,2,,8,,1,,2,,,-,0,,4,,,-,2,,,
ILLINOIS,2014,1,,-,2,,30,,,-,,-,,-,1,,5,,,-,1,,,-,0,,2,,,-,1,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
INDIANA,2014,1,,-,1,,12,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MICHIGAN,2014,1,1,,2,,15,,1,,,-,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
OHIO,2014,1,,-,1,,7,,,-,,-,1,,0,,3,,1,,,-,,-,0,,2,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
WISCONSIN,2014,1,,-,12,,177,,,-,8,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
W.N. CENTRAL,2014,1,,-,3,,31,,,-,,-,3,,0,,3,,3,,2,,,-,0,,3,,,-,1,,,
IOWA,2014,1,,-,2,,27,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
KANSAS,2014,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MISSOURI,2014,1,,-,0,,3,,,-,,-,1,,0,,1,,1,,1,,,-,0,,2,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEBRASKA,2014,1,,-,0,,2,,,-,,-,1,,0,,2,,1,,1,,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NORTH DAKOTA,2014,1,,-,0,,5,,,-,,-,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
S. ATLANTIC,2014,1,2,,35,,116,,2,,37,,2,,5,,16,,2,,5,,5,,1,,6,,5,,1,,,
DELAWARE,2014,1,,-,7,,23,,,-,4,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
DIST. OF COL.,2014,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,1,1,,2,,14,,1,,1,,1,,1,,3,,1,,1,,3,,1,,3,,3,,1,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
GEORGIA,2014,1,,-,0,,4,,,-,,-,,-,1,,5,,,-,,-,,-,0,,2,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MARYLAND,2014,1,1,,18,,68,,1,,31,,1,,2,,10,,1,,3,,,-,0,,1,,,-,,-,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NORTH CAROLINA,2014,1,,-,0,,32,,,-,,-,,-,0,,6,,,-,,-,2,,0,,2,,2,,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
